title,author,genre
"The Hobbit, or There and Back Again",J.R.R. Tolkien,fiction

The Alchemist,Paulo Coelho,fiction

Harry Potter and the Goblet of Fire,J.K. Rowling,fiction

Fahrenheit 451,Ray Bradbury,fiction

Harry Potter and the Deathly Hallows,J.K. Rowling,fiction

Catching Fire,Suzanne Collins,fiction

Harry Potter and the Half-Blood Prince,J.K. Rowling,fiction

Harry Potter and the Order of the Phoenix,J.K. Rowling,fiction

Life of Pi,Yann Martel,fiction

The Girl with the Dragon Tattoo,Stieg Larsson,fiction

Brave New World,Aldous Huxley,fiction

The Book Thief,Markus Zusak,fiction

Of Mice and Men,John Steinbeck,fiction

Mockingjay,Suzanne Collins,fiction

The Curious Incident of the Dog in the Night-Time,Mark Haddon,fiction

The Help,Kathryn Stockett,fiction

Slaughterhouse-Five,Kurt Vonnegut Jr.,fiction

Gone Girl,Gillian Flynn,fiction

Angels & Demons,Dan Brown,fiction

Jane Eyre,Charlotte Brontë,fiction

The Fault in Our Stars,John Green,fiction

A Game of Thrones,George R.R. Martin,fiction

The Lovely Bones,Alice Sebold,fiction

The Time Traveler's Wife,Audrey Niffenegger,fiction

The Road,Cormac McCarthy,fiction

Memoirs of a Geisha,Arthur Golden,fiction

The Girl on the Train,Paula Hawkins,fiction

Water for Elephants,Sara Gruen,fiction

The Hitchhiker's Guide to the Galaxy,Douglas Adams,fiction

Catch-22,Joseph Heller,fiction

One Hundred Years of Solitude,Gabriel García Márquez,fiction

Frankenstein,Mary Wollstonecraft Shelley,fiction

All the Light We Cannot See,Anthony Doerr,fiction

The Fellowship of the Ring,J.R.R. Tolkien,fiction

The Picture of Dorian Gray,Oscar Wilde,fiction

The Adventures of Huckleberry Finn,Mark Twain,fiction

And Then There Were None,Agatha Christie,mystery

The Girl with the Dragon Tattoo,Stieg Larsson,mystery

Gone Girl,Gillian Flynn,mystery

Murder on the Orient Express,Agatha Christie,mystery

The Girl on the Train,Paula Hawkins,mystery

The Da Vinci Code,Dan Brown,mystery

The Cuckoo's Calling,Robert Galbraith,mystery

Angels & Demons,Dan Brown,mystery

The Girl Who Played with Fire,Stieg Larsson,mystery

In the Woods,Tana French,mystery

The Mysterious Affair at Styles,Agatha Christie,mystery

The Sweetness at the Bottom of the Pie,Alan Bradley,mystery

A Study in Scarlet,Arthur Conan Doyle,mystery

The Murder of Roger Ackroyd,Agatha Christie,mystery

The Girl Who Kicked the Hornet's Nest,Stieg Larsson,mystery

The Hound of the Baskervilles,Arthur Conan Doyle,mystery

Sharp Objects,Gillian Flynn,mystery

One for the Money,Janet Evanovich,mystery

The Silkworm,Robert Galbraith,mystery

Still Life,Louise Penny,mystery

Dark Places,Gillian Flynn,mystery

The Adventures of Sherlock Holmes,Arthur Conan Doyle,mystery

Death on the Nile,Agatha Christie,mystery

Murder at the Vicarage,Agatha Christie,mystery

The Lost Symbol,Dan Brown,mystery

The No. 1 Ladies' Detective Agency,Alexander McCall Smith,mystery

Rebecca,Daphne du Maurier,mystery

The A.B.C. Murders,Agatha Christie,mystery

The Westing Game,Ellen Raskin,mystery

The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,mystery

The Shadow of the Wind,Carlos Ruiz Zafón,mystery

Career of Evil,Robert Galbraith,mystery

The Beekeeper's Apprentice,Laurie R. King,mystery

The Woman in Cabin 10,Ruth Ware,mystery

One of Us Is Lying,Karen M. McManus,mystery

Maisie Dobbs,Jacqueline Winspear,mystery

The Curious Incident of the Dog in the Night-Time,Mark Haddon,mystery

A is for Alibi,Sue Grafton,mystery

The Thirteenth Tale,Diane Setterfield,mystery

Crocodile on the Sandbank,Elizabeth Peters,mystery

The Sign of Four,Arthur Conan Doyle,mystery

The Lovely Bones,Alice Sebold,mystery

Two for the Dough,Janet Evanovich,mystery

Inferno,Dan Brown,mystery

The Likeness,Tana French,mystery

The Woman in the Window,A.J. Finn,mystery

The Complete Sherlock Holmes,Arthur Conan Doyle,mystery

The Body in the Library,Agatha Christie,mystery

We Were Liars,E. Lockhart,mystery

Big Little Lies,Liane Moriarty,mystery

The Diary of a Young Girl,Anne Frank,nonfiction

The Immortal Life of Henrietta Lacks,Rebecca Skloot,nonfiction

"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,nonfiction

Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,nonfiction

Night,Elie Wiesel,nonfiction

Educated,Tara Westover,nonfiction

Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,nonfiction

Bossypants,Tina Fey,nonfiction

Between the World and Me,Ta-Nehisi Coates,nonfiction

Outliers: The Story of Success,Malcolm Gladwell,nonfiction

Stiff: The Curious Lives of Human Cadavers,Mary Roach,nonfiction

Into the Wild,Jon Krakauer,nonfiction

In Cold Blood,Truman Capote,nonfiction

The Glass Castle,Jeannette Walls,nonfiction

Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,nonfiction

"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,nonfiction

The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,nonfiction

Becoming,Michelle Obama,nonfiction

The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,nonfiction

"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,nonfiction

Sapiens: A Brief History of Humankind,Yuval Noah Harari,nonfiction

Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,nonfiction

Yes Please,Amy Poehler,nonfiction

We Should All Be Feminists,Chimamanda Ngozi Adichie,nonfiction

On Writing: A Memoir of the Craft,Stephen King,nonfiction

I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,nonfiction

Born a Crime: Stories From a South African Childhood,Trevor Noah,nonfiction

A Short History of Nearly Everything,Bill Bryson,nonfiction

Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,nonfiction

Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,nonfiction

Is Everyone Hanging Out Without Me?,Mindy Kaling,nonfiction

A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,nonfiction

When Breath Becomes Air,Paul Kalanithi,nonfiction

The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,nonfiction

I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,nonfiction

Bad Feminist,Roxane Gay,nonfiction

"Eat, Pray, Love",Elizabeth Gilbert,nonfiction

Nickel and Dimed: On  Getting by in America,Barbara Ehrenreich,nonfiction

Modern Romance,Aziz Ansari,nonfiction

Me Talk Pretty One Day,David Sedaris,nonfiction

Man's Search for Meaning,Viktor E. Frankl,nonfiction

The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,nonfiction

Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,nonfiction

The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,nonfiction

A Brief History of Time,Stephen Hawking,nonfiction

The Library Book,Susan Orlean,nonfiction

Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,nonfiction

Astrophysics for People in a Hurry,Neil deGrasse Tyson,nonfiction

"Thinking, Fast and Slow",Daniel Kahneman,nonfiction

What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,nonfiction

Ender's Game,Orson Scott Card,sciencefiction

The Hitchhiker's Guide to the Galaxy,Douglas Adams,sciencefiction

Dune,Frank Herbert,sciencefiction

The Martian,Andy Weir,sciencefiction

The Hunger Games,Suzanne Collins,sciencefiction

Catching Fire,Suzanne Collins,sciencefiction

Fahrenheit 451,Ray Bradbury,sciencefiction

Foundation,Isaac Asimov,sciencefiction

Speaker for the Dead,Orson Scott Card,sciencefiction

Ready Player One,Ernest Cline,sciencefiction

Do Androids Dream of Electric Sheep?,Philip K. Dick,sciencefiction

Mockingjay,Suzanne Collins,sciencefiction

Neuromancer,William Gibson,sciencefiction

Stranger in a Strange Land,Robert A. Heinlein,sciencefiction

Snow Crash,Neal Stephenson,sciencefiction

1984,George Orwell,sciencefiction

Brave New World,Aldous Huxley,sciencefiction

"I, Robot",Isaac Asimov,sciencefiction

Xenocide,Orson Scott Card,sciencefiction

The Left Hand of Darkness,Ursula K. Le Guin,sciencefiction

2001: A Space Odyssey,Arthur C. Clarke,sciencefiction

The Restaurant at the End of the Universe,Douglas Adams,sciencefiction

Ender's Shadow,Orson Scott Card,sciencefiction

Jurassic Park,Michael Crichton,sciencefiction

A Wrinkle in Time,Madeleine L'Engle,sciencefiction

The Handmaid's Tale,Margaret Atwood,sciencefiction

The Moon is a Harsh Mistress,Robert A. Heinlein,sciencefiction

The Martian Chronicles,Ray Bradbury,sciencefiction

"Life, the Universe and Everything",Douglas Adams,sciencefiction

Old Man's War,John Scalzi,sciencefiction

The Giver,Lois Lowry,sciencefiction

Foundation and Empire,Isaac Asimov,sciencefiction

Ancillary Justice,Ann Leckie,sciencefiction

Divergent,Veronica Roth,sciencefiction

Hyperion,Dan Simmons,sciencefiction

Children of the Mind,Orson Scott Card,sciencefiction

The Time Machine,H.G. Wells,sciencefiction

"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,sciencefiction

Second Foundation,Isaac Asimov,sciencefiction

The Host,Stephenie Meyer,sciencefiction

Shadow of the Hegemon,Orson Scott Card,sciencefiction

Oryx and Crake,Margaret Atwood,sciencefiction

The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,sciencefiction

Altered Carbon,Richard K. Morgan,sciencefiction

Shadow Puppets,Orson Scott Card,sciencefiction

"So Long, and Thanks for All the Fish",Douglas Adams,sciencefiction

Never Let Me Go,Kazuo Ishiguro,sciencefiction

The Forever War,Joe Haldeman,sciencefiction

The Maze Runner,James Dashner,sciencefiction

Leviathan Wakes,James S.A. Corey,sciencefiction

